(00, 01)
(01, 02)
(02, 03)
(02, 07)
(03, 04)
(03, 07)
(03, 08)
(04, 05)
(04, 08)
(04, 09)
(05, 06)
(05, 10)
(06, 10)
(06, 11)
(07, 08)
(07, 12)
(08, 12)
(08, 09)
(09, 10)
(09, 13)
(09, 14)
(10, 11)
(10, 15)
(10, 16)
(10, 17)
(11, 17)
(11, 24)
(11, 26)
(11, 27)
(11, 28)
(12, 13)
(13, 14)
(13, 15)
(13, 18)
(15, 16)
(15, 19)
(16, 17)
(16, 20)
(17, 21)
(17, 23)
(17, 24)
(18, 19)
(19, 20)
(19, 25)
(20, 21)
(20, 22)
(20, 25)
(21, 22)
(22, 24)
(22, 25)
(23, 24)
(24, 25)
(24, 26)
(25, 26)
(26, 27)
(27, 28)
(28, 29)
(29, 30)
(29, 31)
(30, 31)
